,0,1,2,3
167,klf16,zfp57,1.0,1.0
168,stat3,taf1,1.0,1.0
169,stat3,tgif1,1.0,1.0
170,stat3,xbp1,1.0,1.0
171,stat3,yy1,1.0,1.0
172,stat3,zfp263,1.0,1.0
173,stat3,zfp281,1.0,1.0
174,stat3,zfp740,1.0,1.0
175,e2f1,e2f4,1.0,1.0
176,e2f1,ep300,1.0,1.0
177,taf1,tcf3,1.0,1.0
178,taf1,tcf4,1.0,1.0
179,taf1,tcf7l1,1.0,1.0
180,e2f1,gabpa,1.0,1.0
181,taf1,tfdp1,1.0,1.0
182,taf1,tfdp2,1.0,1.0
183,e2f1,hdac2,1.0,1.0
184,taf1,yy1,1.0,1.0
185,taf1,zbtb7a,1.0,1.0
186,e2f1,irf1,1.0,1.0
187,taf1,zfp740,1.0,1.0
188,e2f1,klf16,1.0,1.0
189,e2f1,klf3,1.0,1.0
190,e2f1,klf4,1.0,1.0
191,e2f1,klf5,1.0,1.0
192,e2f1,klf9,1.0,1.0
193,tbp,tfdp1,1.0,1.0
194,tbp,tgif1,1.0,1.0
195,e2f1,max,1.0,1.0
196,tbp,xbp1,1.0,1.0
197,tbp,zbtb7a,1.0,1.0
198,e2f1,mlx,1.0,1.0
199,e2f1,mycn,1.0,1.0
200,klf3,klf4,1.0,1.0
201,klf3,klf5,1.0,1.0
202,e2f1,nr2c2,1.0,1.0
203,e2f1,nr3c1,1.0,1.0
204,e2f1,nrf1,1.0,1.0
205,klf3,klf9,1.0,1.0
206,e2f1,patz1,1.0,1.0
207,klf3,max,1.0,1.0
208,klf3,mitf,1.0,1.0
209,e2f1,rad21,1.0,1.0
210,e2f1,rest,1.0,1.0
211,e2f1,sall4,1.0,1.0
212,e2f1,setdb1,1.0,1.0
213,klf3,nrf1,1.0,1.0
214,e2f1,sin3a,1.0,1.0
215,klf3,patz1,1.0,1.0
216,e2f1,smc3,1.0,1.0
217,e2f1,sp1,1.0,1.0
218,e2f1,sp2,1.0,1.0
219,klf3,pura,1.0,1.0
220,klf3,rad21,1.0,1.0
221,klf3,rest,1.0,1.0
222,e2f1,stat3,1.0,1.0
223,e2f1,taf1,1.0,1.0
224,klf3,setdb1,1.0,1.0
225,klf3,sin3a,1.0,1.0
226,klf3,smc3,1.0,1.0
227,klf3,sp1,1.0,1.0
228,klf3,sp2,1.0,1.0
229,e2f1,tbp,1.0,1.0
230,tcf3,tfdp2,1.0,1.0
231,tcf4,zfp281,1.0,1.0
232,e2f1,tfdp1,1.0,1.0
233,e2f1,tfdp2,1.0,1.0
234,klf3,srebf2,1.0,1.0
235,e2f1,ybx1,1.0,1.0
236,klf3,stat3,1.0,1.0
237,e2f1,yy1,1.0,1.0
238,klf3,taf1,1.0,1.0
239,klf3,tbp,1.0,1.0
240,gli2,hdac2,1.0,1.0
241,e2f1,zbtb7a,1.0,1.0
242,gli2,klf16,1.0,1.0
243,klf3,tfdp1,1.0,1.0
244,e2f1,zfp281,1.0,1.0
245,klf3,yy1,1.0,1.0
246,klf3,zbtb7a,1.0,1.0
247,klf3,zfp281,1.0,1.0
248,klf4,klf5,1.0,1.0
249,klf4,max,1.0,1.0
250,klf4,mycn,1.0,1.0
251,klf4,nrf1,1.0,1.0
252,klf4,patz1,1.0,1.0
253,nr2c2,nr3c1,1.0,1.0
254,klf4,rest,1.0,1.0
255,nr2c2,rest,1.0,1.0
256,klf4,rreb1,1.0,1.0
257,klf4,setdb1,1.0,1.0
258,klf4,sin3a,1.0,1.0
259,nr2c2,smc3,1.0,1.0
260,atf4,ctcf,1.0,1.0
261,nr2c2,sp2,1.0,1.0
262,klf4,smarcc1,1.0,1.0
263,klf4,smc3,1.0,1.0
264,klf4,sp1,1.0,1.0
265,klf4,sp2,1.0,1.0
266,nr2c2,tbp,1.0,1.0
267,atf4,nr2c2,1.0,1.0
268,klf4,tbp,1.0,1.0
269,nr2c2,tcf4,1.0,1.0
270,nr2c2,tfdp1,1.0,1.0
271,nr2c2,yy1,1.0,1.0
272,nr2c2,zfp57,1.0,1.0
273,nr2c2,zfp740,1.0,1.0
274,klf4,tfdp1,1.0,1.0
275,etv5,gabpa,1.0,1.0
276,klf4,yy1,1.0,1.0
277,etv5,klf3,1.0,1.0
278,klf4,zbtb7a,1.0,1.0
279,etv5,patz1,1.0,1.0
280,klf4,zfp281,1.0,1.0
281,klf4,zfp740,1.0,1.0
282,etv5,sp1,1.0,1.0
283,etv5,yy1,1.0,1.0
284,etv5,zfp740,1.0,1.0
285,klf5,nrf1,1.0,1.0
286,klf5,patz1,1.0,1.0
287,nr3c1,patz1,1.0,1.0
288,gtf2i,nrf1,1.0,1.0
289,klf5,polr2a,1.0,1.0
290,gtf2i,patz1,1.0,1.0
291,nr3c1,sp1,1.0,1.0
292,klf5,setdb1,1.0,1.0
293,klf5,sin3a,1.0,1.0
294,nr3c1,stat3,1.0,1.0
295,klf5,sp1,1.0,1.0
296,klf5,sp2,1.0,1.0
297,gtf2i,yy1,1.0,1.0
298,nr3c1,zfp281,1.0,1.0
299,gtf2i,zfp740,1.0,1.0
300,gtf3c2,hdac2,1.0,1.0
301,klf5,taf1,1.0,1.0
302,klf5,tbp,1.0,1.0
303,gtf3c2,mga,1.0,1.0
304,ewsr1,mycn,1.0,1.0
305,gtf3c2,nrf1,1.0,1.0
306,ezh2,taf1,1.0,1.0
307,gtf3c2,polr3a,1.0,1.0
308,klf5,tfdp1,1.0,1.0
309,klf5,tfdp2,1.0,1.0
310,gtf3c2,rest,1.0,1.0
311,gtf3c2,setdb1,1.0,1.0
312,klf5,yy1,1.0,1.0
313,gtf3c2,taf1,1.0,1.0
314,klf5,zbtb7a,1.0,1.0
315,thap11,zfp263,1.0,1.0
316,hdac2,irf3,1.0,1.0
317,hdac2,max,1.0,1.0
318,hdac2,mitf,1.0,1.0
319,hdac2,mlx,1.0,1.0
320,hdac2,mycn,1.0,1.0
321,hdac2,nfya,1.0,1.0
322,hdac2,nfyb,1.0,1.0
323,hdac2,nr2c2,1.0,1.0
324,hdac2,nrf1,1.0,1.0
325,hdac2,patz1,1.0,1.0
326,nrf1,patz1,1.0,1.0
327,hdac2,rad21,1.0,1.0
328,hdac2,rest,1.0,1.0
329,hdac2,rreb1,1.0,1.0
330,nrf1,pura,1.0,1.0
331,nrf1,rest,1.0,1.0
332,nrf1,setdb1,1.0,1.0
333,nrf1,sin3a,1.0,1.0
334,hdac2,sin3a,1.0,1.0
335,hdac2,smad2,1.0,1.0
336,nrf1,smc3,1.0,1.0
337,nrf1,sp1,1.0,1.0
338,nrf1,sp2,1.0,1.0
339,hdac2,smc3,1.0,1.0
340,hdac2,sp1,1.0,1.0
341,hdac2,sp2,1.0,1.0
342,wrnip1,yy1,1.0,1.0
343,hdac2,taf1,1.0,1.0
344,nrf1,stat3,1.0,1.0
345,nrf1,taf1,1.0,1.0
346,xbp1,yy1,1.0,1.0
347,nrf1,tbp,1.0,1.0
348,xbp1,zfp281,1.0,1.0
349,nrf1,tcf4,1.0,1.0
350,yy1,zbtb7a,1.0,1.0
351,hdac2,tfdp1,1.0,1.0
352,hdac2,tgif1,1.0,1.0
353,yy1,zfp263,1.0,1.0
354,nrf1,tfdp1,1.0,1.0
355,yy1,zfp57,1.0,1.0
356,hdac2,yy1,1.0,1.0
357,hdac2,zbtb7a,1.0,1.0
358,nrf1,yy1,1.0,1.0
359,nrf1,zbtb7a,1.0,1.0
360,hdac2,zfp281,1.0,1.0
361,hdac2,zfp57,1.0,1.0
362,nrf1,zfp281,1.0,1.0
363,zbtb7a,zfp281,1.0,1.0
364,zbtb7a,zfp57,1.0,1.0
365,e2f4,elf2,1.0,1.0
366,e2f4,ep300,1.0,1.0
367,e2f4,etv5,1.0,1.0
368,patz1,pou2f1,1.0,1.0
369,e2f4,gabpa,1.0,1.0
370,patz1,rbpj,1.0,1.0
371,patz1,setdb1,1.0,1.0
372,e2f4,hdac2,1.0,1.0
373,patz1,sp2,1.0,1.0
374,e2f4,hsf1,1.0,1.0
375,e2f4,irf1,1.0,1.0
376,e2f4,irf3,1.0,1.0
377,patz1,stat3,1.0,1.0
378,e2f4,max,1.0,1.0
379,patz1,taf1,1.0,1.0
380,klf9,max,1.0,1.0
381,e2f4,mybl2,1.0,1.0
382,e2f4,nfe2l2,1.0,1.0
383,e2f4,nrf1,1.0,1.0
384,patz1,zfp57,1.0,1.0
385,klf9,mycn,1.0,1.0
386,e2f4,setdb1,1.0,1.0
387,e2f4,sin3a,1.0,1.0
388,e2f4,sp1,1.0,1.0
389,klf9,nfib,1.0,1.0
390,e2f4,sp2,1.0,1.0
391,klf9,nrf1,1.0,1.0
392,klf9,pou2f1,1.0,1.0
393,e2f4,taf1,1.0,1.0
394,e2f4,tfdp1,1.0,1.0
395,e2f4,yy1,1.0,1.0
396,klf9,setdb1,1.0,1.0
397,e2f4,zbtb7a,1.0,1.0
398,klf9,srebf2,1.0,1.0
399,klf9,yy1,1.0,1.0
400,klf9,zfp57,1.0,1.0
401,lef1,taf1,1.0,1.0
402,lef1,zfp740,1.0,1.0
403,bclaf1,ccnt2,1.0,1.0
404,bclaf1,ctcf,1.0,1.0
405,bclaf1,e2f1,1.0,1.0
406,bclaf1,e2f4,1.0,1.0
