,0,1,2,3
0,1,14,1,2.264595398
1,1,20,1,2.560454786
2,1,48,1,1.937470438
3,1,82,1,2.347177524
4,1,93,1,2.976708824
5,1,97,1,4.195533693
6,1,117,1,3.756457168
7,1,137,1,2.15478372
8,1,143,1,2.740900592
9,1,152,1,3.139611642
10,1,161,1,1.450079765
11,1,174,1,1.669657566
12,2,56,1,2.703475293
13,2,155,1,7.930014992
14,3,4,1,0.991752283
15,3,5,1,0.524076639
16,3,8,1,0.415461044
17,3,12,1,1.529623347
18,3,14,1,0.221648882
19,3,16,1,1.093376242
20,3,17,1,0.319097593
21,3,18,1,2.11030058
22,3,21,1,0.917758655
23,3,23,1,0.435481613
24,3,24,1,1.375848513
25,3,26,1,0.071925235
26,3,27,1,1.129598334
27,3,30,1,0.15538078
28,3,31,1,0.02134319
29,3,34,1,3.902436715
30,3,40,1,1.868257888
31,3,43,1,0.412096048
32,3,45,1,0.455901209
33,3,46,1,2.134580072
34,3,50,1,0.382078872
35,3,51,1,1.668792418
36,3,52,-1,0.0
37,3,53,1,1.019456791
38,3,55,1,0.484472763
39,3,57,1,0.18063353
40,3,59,1,1.213638655
41,3,65,1,2.504845992
42,3,66,1,0.221512585
43,3,68,1,0.766075555
44,3,70,1,0.736645558
45,3,71,1,1.923362352
46,3,74,1,1.830896058
47,3,75,1,0.921480693
48,3,76,1,1.147988767
49,3,80,1,0.366340648
50,3,86,1,0.854000236
51,3,87,1,1.029187715
52,3,88,1,0.38093908
53,3,97,1,0.748818113
54,3,99,1,0.794235507
55,3,103,1,0.491300177
56,3,109,-1,0.568692353
57,3,110,1,0.74370767
58,3,113,-1,0.236975313
59,3,114,-1,0.653234233
60,3,124,1,2.064025682
61,3,126,1,1.276053242
62,3,127,1,0.307163879
63,3,128,1,0.11208867
64,3,130,1,0.44660296
65,3,134,1,0.337465788
66,3,135,1,0.093993402
67,3,138,1,0.100211354
68,3,140,1,0.576504387
69,3,141,1,0.44317584
70,3,145,-1,0.080011414
71,3,146,1,0.586019276
72,3,149,1,1.417884752
73,3,151,1,0.904098706
74,3,152,1,0.743068212
75,3,153,1,0.498474737
76,3,156,1,2.754730351
77,3,162,1,6.582407979
78,3,167,1,0.10771934
79,3,168,1,0.624611118
80,3,170,1,0.567119282
81,3,173,1,0.865259168
82,3,174,1,0.375166644
83,4,3,1,2.784203616
84,4,11,1,5.361603954
85,4,24,1,15.81895019
86,4,25,1,6.117279018
87,4,36,1,3.923742264
88,4,53,1,6.608713317
89,4,54,1,6.264281557
90,4,62,1,9.637219353
91,4,67,1,8.981278536
92,4,68,1,6.029082308
93,4,71,1,15.49162191
94,4,73,1,5.379990712
95,4,74,1,14.41993227
96,4,75,1,10.15796136
97,4,79,1,4.76941985
98,4,85,1,2.818006506
99,4,90,1,11.95113793
100,4,96,1,4.181344003
101,4,102,1,5.145152807
102,4,107,1,4.782776785
103,4,111,1,4.69826987
104,4,113,1,5.018358249
105,4,119,1,3.705432725
106,4,121,1,24.50994281
107,4,127,1,2.748142828
108,4,129,1,5.679633485
109,4,133,1,5.230810497
110,4,134,1,5.016502327
111,4,135,1,3.796520408
112,4,137,1,6.88494501
113,4,139,1,11.38284275
114,4,143,1,2.809789538
115,4,148,1,8.019150951
116,4,152,1,10.42733623
117,4,153,1,5.339783807
118,4,155,1,11.11911727
119,4,163,1,10.47060189
120,4,173,1,9.184953318
121,5,3,1,1.907447751
122,5,7,1,2.585933917
123,5,11,1,2.083964078
124,5,24,1,5.954159977
125,5,25,1,2.298097128
126,5,36,1,2.187686499
127,5,53,1,2.829062787
128,5,54,1,5.46023114
129,5,67,1,3.025419054
130,5,71,1,6.60904056
131,5,73,1,7.338357346
132,5,74,1,6.744675212
133,5,79,1,1.237108241
134,5,85,1,1.957314227
135,5,90,1,3.78840194
136,5,96,-1,0.963911698
137,5,102,1,2.297326553
138,5,107,1,3.518578474
139,5,111,1,2.371068556
140,5,121,1,12.54378577
141,5,128,1,1.363733418
142,5,133,1,2.192798879
143,5,134,1,4.490511896
144,5,140,1,6.964059431
145,5,143,1,3.495749679
146,5,152,1,4.023397751
147,5,155,1,5.561533487
148,5,163,1,4.514903146
149,5,168,1,3.52420279
150,5,171,1,3.107694833
151,5,173,1,3.555988221
152,6,2,1,16.76898064
153,6,5,1,16.87021121
154,6,24,1,24.52703123
155,6,36,1,10.47068146
156,6,52,1,26.3288888
157,6,73,1,27.31811556
158,6,94,1,11.21036075
159,6,111,1,4.507351449
160,6,114,1,9.161925364
161,6,118,1,8.025586124
162,6,133,1,7.369574303
163,6,143,1,7.655913493
164,6,150,1,2.267216445
165,6,153,1,11.04001588
166,6,163,1,12.0464137
167,7,2,1,1.455155007
168,7,5,1,2.043864986
169,7,37,1,0.542546257
170,7,79,1,1.225246458
171,7,105,1,9.215991875
172,7,117,1,1.149749892
173,7,133,1,1.247367885
174,7,150,1,1.019466424
175,7,156,1,5.848771779
176,7,166,-1,0.81474828
177,7,168,1,2.022151336
178,8,4,1,3.038406984
179,8,11,1,0.487935214
180,8,43,1,0.564477921
181,8,67,1,2.516423934
182,8,68,1,0.649360462
183,8,79,1,0.988628574
184,8,107,1,0.42208777
185,8,111,1,0.958231159
186,8,114,1,0.553254613
187,8,134,1,0.988026768
188,8,143,1,0.239430253
189,8,152,1,2.374699844
190,8,155,1,1.80430073
191,8,165,1,1.344288261
192,9,6,1,4.187048996
193,9,15,1,2.534530816
194,9,16,1,3.56093728
195,9,17,1,1.389938425
196,9,18,1,4.290383946
197,9,24,1,4.112334821
198,9,25,1,1.317762692
199,9,36,1,2.30515734
200,9,40,1,3.542806549
201,9,45,1,3.175429498
202,9,48,1,2.154412607
203,9,53,1,1.998593332
204,9,56,-1,0.649986601
205,9,61,1,2.141633341
206,9,66,1,2.259072889
207,9,76,1,3.537898213
208,9,83,1,2.297033958
209,9,85,1,1.072157949
210,9,88,1,1.658141167
211,9,95,1,1.004602368
212,9,96,1,1.10975662
213,9,97,1,3.07161049
214,9,109,1,2.174318897
215,9,110,1,1.775862361
216,9,113,1,0.7111239
217,9,118,1,2.907505574
218,9,120,1,2.253457657
219,9,127,1,2.164192268
220,9,132,1,1.579592451
221,9,141,1,1.150616478
222,9,143,1,1.434559854
223,9,145,1,1.767489138
224,9,147,1,2.545942257
225,9,150,1,0.972514373
226,9,151,1,2.298152109
227,9,152,1,2.904598511
228,9,156,1,7.738011651
229,9,158,1,2.165507465
230,9,159,1,3.562635603
231,9,168,1,1.416507548
232,9,174,1,0.868954942
233,10,2,1,9.338291323
234,10,4,1,23.07539148
235,10,5,1,16.41928372
236,10,8,1,3.497495378
237,10,9,1,5.154820218
238,10,11,1,9.391929378
239,10,12,1,11.03818295
240,10,15,1,11.53883712
241,10,18,1,16.590548
242,10,20,1,9.986059797
243,10,21,1,5.892151557
244,10,24,1,14.17238551
245,10,25,1,3.784651591
246,10,28,1,17.77372475
247,10,29,1,11.96551196
248,10,30,1,8.312720551
249,10,31,1,11.39909904
250,10,32,1,6.269370863
251,10,34,1,35.79064414
252,10,35,1,7.240356667
253,10,36,1,4.770179539
254,10,37,1,7.504335148
255,10,38,1,6.062831749
256,10,39,1,6.003065435
257,10,40,1,13.98520651
258,10,43,1,3.792392926
259,10,45,1,5.539356851
260,10,46,1,17.96206199
261,10,47,1,2.605625335
262,10,49,1,11.46013865
263,10,50,1,6.638678096
264,10,51,1,13.78563936
265,10,53,1,6.655026125
266,10,55,1,6.687191434
267,10,56,1,5.309516887
268,10,57,1,6.15620085
269,10,59,1,7.654688793
