0,gene1,gene2,feedback1,feedback2,kon1,kon2,koff1,koff2,ksyn1,ksyn2,w,bs1,bs2,bf1,bf2,cv1,cv2,convergence,corr,NMI,cmi_given_x1,cmi_given_x2,sign_givenx1,sign_givenx2
23,klf10,klf4,1,1,0.573337933,0.510006794,6.315797383,4.59744489,6.496256888,43.54525014,6.331822614,0.525622745,0.459079845,1.028572719,9.47161982,0.758521019,0.563989798,1,0.135335051,0.073483977,3.676918134,10.7782696,1,1
24,klf10,patz1,1,1,1.496418945,7.217308544,23.83145945,21.99313478,4.482180366,14.29118088,4.301412152,1.408007685,5.434057874,0.188078299,0.649801905,0.735554718,0.566196989,1,0.194313826,0.030544859,1.578993503,1.494978451,1,1
25,klf10,pou5f1,1,1,0.036510168,6.128797478,54.34664149,116.7899265,6.019872029,2301.423839,20.03455299,0.036485657,5.82321215,0.11076806,19.70567076,0.753351868,0.2999796,1,0.184350175,0.191653533,10.15690594,72.3298029,1,1
26,klf10,rest,1,1,0.258844534,4.917869057,18.23485914,31.31623488,4.462593685,107.8551679,7.427833123,0.255221653,4.250391917,0.244728717,3.444065621,0.737478759,0.338248332,1,0.182052152,0.076570586,3.705244448,8.888278845,1,1
27,klf10,sin3a,1,1,1.253735184,5.6987318,72.45570178,80.18247428,4.864004055,43.7988696,14.1730517,1.232410209,5.320586853,0.067130729,0.546239936,0.742641901,0.682555632,1,0.232386275,0.052408593,2.366136029,1.978404903,1,1
28,klf10,stat3,1,1,1.037671577,1.435388819,4.126237722,5.645576814,4.992084107,3.95718284,4.749789137,0.829154688,1.144419879,1.209839191,0.700935081,0.746492649,0.806967859,1,0.135977495,0.022553715,1.379239026,0.909553614,1,1
29,klf10,tcf3,1,1,0.560759722,5.895714502,33.38577565,47.37726678,5.110618898,69.91515205,9.087188144,0.551496584,5.24323648,0.153077734,1.475710964,0.744978828,0.450648407,1,0.199632909,0.054219116,2.057424784,4.983431298,1,1
30,klf10,tcf4,1,1,0.477820402,4.19959286,10.72029345,8.673425563,4.201940749,15.37369955,3.201927264,0.457431938,2.829550527,0.391961355,1.77250608,0.734228986,0.844891304,1,0.177977265,0.037414171,1.634376212,1.81361189,1,1
31,klf10,yy1,1,1,0.00916457,5.063990761,56.55519362,115.9825091,3.908195819,126.8710453,23.65137387,0.009163085,4.85213827,0.069104101,1.093880847,0.726887522,0.477088323,1,0.175325431,0.04516342,1.74224744,3.586720085,1,1
32,klf10,zbtb7a,1,1,3.766045584,0.916129026,5.516676987,4.718851909,6.541189479,2.984167612,2.938570719,2.238142619,0.767185773,1.185711887,0.632392724,0.755001929,0.667007546,1,0.073723862,0.022579505,0.883177435,0.575638764,1,1
