,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,elf2,sin3a,1,1,0.23797759,0.142001933,1.131771748,0.199988349,6.040221261,5.288090661,0.813055802,0.196631825,0.083039588,5.336960628,26.44199362,2.986807184,1.487650159,1,0.058349027,0.107048656,1.72508123,0.173278496,1,0
2,elf2,taf1,1,1,0.151955391,0.002643458,0.668126715,0.006159449,6.500583657,6.518091911,0.528836833,0.123799136,0.001849644,9.729567028,1058.226424,3.266666667,3.008746356,1,0.05207733,0.183324644,2.635595879,2.356539777,-1,1
3,elf2,zbtb7a,1,1,0.497301479,3.129510446,0.774969806,609.6996694,5.825551761,236.1180583,-1.615961324,0.302917809,3.113529099,7.51713385,0.387269454,3.029949465,1.50321305,1,-0.029879486,0.118322434,1.635617965,0.201604967,1,-1
4,smarcc1,wrnip1,1,1,1.952131081,0.001,3.144880202,0.001724966,20.43071671,2.914557747,0.197057041,1.204474161,0.000633023,6.496500788,1689.632409,0.389938272,2.691308864,1,0.011845197,0.220708192,0.671040013,2.508900383,-1,1
5,smc3,tbp,1,1,0.0001,0.0001,8.1719449,3.681935988,47.05553036,5.351066417,10.28899218,1.00E-04,1.00E-04,5.758180083,1.453329562,0.42269003,1.820180071,1,0.21854366,0.180508263,4.425261893,4.31396417,1,1
6,smc3,yy1,1,1,2.011317523,0.240072871,4.558312842,0.32821102,41.26330659,5.000626824,1.87578252,1.395544952,0.13865352,9.052320019,15.23601135,0.371994981,1.401487288,1,0.086800649,0.365859047,14.24025956,5.149680516,1,1
7,smc3,zbtb7a,1,1,0.852713722,6.489132697,275.609919,385.4131355,55.45618423,177.1727562,55.91074428,0.850083635,6.381685391,0.201212585,0.459695687,0.426529354,1.361950059,1,0.14310649,0.177711499,5.094890093,2.618936017,1,1
8,sox2,taf1,1,1,1.605468008,0.013545334,3.720602005,0.031120149,31.54187262,6.589853947,4.719281462,1.121522525,0.009437552,8.477626089,211.7552192,0.424582016,3.233347751,1,0.302191564,0.292290457,10.27715732,8.221990669,1,1
9,mycn,patz1,1,1,0.226575928,0.859981887,0.716547662,5.033389669,17.9854687,10.92296899,1.270710029,0.172143347,0.73449025,25.10017082,2.170102,1.818120228,1.484509001,1,0.036969526,0.264747844,3.733996934,1.918585738,1,1
10,mycn,smc3,1,1,0.214810983,1.6019338,0.988346501,7.288833363,20.32511447,47.81887262,6.468253583,0.176458765,1.313298201,20.56476596,6.560566038,1.803459938,0.417610119,1,0.203060765,0.386284146,16.89168637,14.05905986,1,1
11,mycn,sp1,1,1,0.253181417,0.295069833,0.816433772,0.519759611,19.55990731,9.429808578,1.234503468,0.193252547,0.188217771,23.95773911,18.14263435,1.774520512,1.295971429,1,0.104081535,0.29275514,9.14960589,7.964161025,1,-1
12,mycn,stat3,1,1,0.274312157,1.072800556,0.947121607,1.772275839,20.00264397,8.200873709,0.927405346,0.212706557,0.668276785,21.11940412,4.627312255,1.775034157,0.757395505,1,0.045036241,0.273101066,7.036900504,3.8126504,1,-1
13,mycn,tfdp1,1,1,0.236253545,0.474094208,0.939869921,1.825188851,20.20238543,5.596851495,6.063289027,0.188796166,0.376339685,21.4948739,3.066450625,1.878873184,1.804938272,1,0.272335726,0.256240539,4.435655641,2.753919063,1,1
14,mycn,tfdp2,1,1,0.271353763,0.270039272,1.079926329,0.512183748,21.11202251,4.125586729,1.816448072,0.216862569,0.176816231,19.54950253,8.054895818,1.924232017,1.734342261,1,0.123696634,0.25611496,4.735862924,2.288678195,1,1
15,sp1,sp2,1,1,1.00E-04,2.134671002,45.61195843,382.4433974,8.415501674,263.8667003,159.5644789,1.00E-04,2.12282212,0.18450209,0.689949682,1.192273021,1.316575697,1,0.123086314,0.14636714,1.294294493,2.065488367,0,1
16,mycn,yy1,1,1,0.325061498,0.20673604,1.135261453,0.227244817,21.1786551,4.734811615,2.495142558,0.252704231,0.108252917,18.65531067,20.83572988,1.654247392,1.29942082,1,0.19501828,0.327384622,4.215620165,4.411385201,1,1
17,sp1,srebf2,1,1,0.382799847,0.174825972,0.832341055,0.37074953,11.89171796,5.344453154,1.983017184,0.262208299,0.118804174,14.28707364,14.41526615,1.239632201,1.914398068,1,0.172250468,0.274740632,5.82387971,2.580094435,1,1
18,mycn,zfp281,1,1,0.253279607,0.370148854,0.847587046,0.685543964,19.75229945,4.184514242,0.561822937,0.195006828,0.240366618,23.30415446,6.10393273,1.812122953,1.564643913,1,0.038513893,0.205629287,2.112717513,1.72568464,-1,1
19,sp1,taf1,1,1,0.334329012,0.015128501,0.677729815,0.039720016,10.22525852,7.337704664,-0.297674194,0.22388495,0.010955707,15.08751466,184.7356931,1.341237683,3.10858398,1,-0.032629309,0.215148368,0.522656447,5.217660149,-1,1
20,sp1,tbp,1,1,0.291193943,0.662858149,0.719718339,2.591007527,10.36830093,5.695615225,4.283383629,0.207315338,0.527824632,14.40605355,2.198224114,1.307940195,1.799389266,1,0.171274949,0.174987766,8.636134078,4.528921585,1,1
21,klf10,klf4,1,1,0.0001,2.43264829,16.95430653,30.65072516,6.45470781,236.6612203,13.53152385,1.00E-04,2.253773614,0.380711992,7.721227445,0.588613339,0.694032366,1,0.206370273,0.287496818,6.339479773,31.51002969,1,1
22,klf10,patz1,1,1,2.636563598,0.005734489,35.61666044,6.485443407,52.1167467,7.402168084,14.47576879,2.4548412,0.005729423,1.463268764,1.141351118,0.633325908,1.51119761,1,0.082152705,0.15147842,4.834754026,3.206062049,1,1
23,sp1,tfdp1,1,1,0.317906618,0.669811614,0.615310419,3.482926324,9.754120662,7.902095611,2.94195848,0.209609605,0.561775036,15.85235738,2.268809293,1.321745586,1.790864436,1,0.104865424,0.163811232,3.934758194,3.156680682,1,1
24,myef2,smc3,1,1,15.18272281,5.251362625,95.77555505,141.4155755,115.6668895,59.06226188,7.579577969,13.10522957,5.063339272,1.207686966,0.417650331,2.379655137,0.453535071,1,0.179934649,0.240293352,7.640373068,1.314977366,1,1
25,klf10,rest,1,1,2.984414189,15.90576654,422.325544,0.0001,525.4766012,12.73956288,-17.52782484,2.963472455,1.00E-04,1.244245366,127395.6283,0.655286417,0.551853475,1,-0.026856218,0.207028227,6.8426755,3.595497401,-1,1
26,myef2,tbp,1,1,39.57704933,16.00625953,98.58442643,337.0580379,126.0166955,16.5211401,-0.989106448,28.24000458,15.28061169,1.278261689,0.049015713,2.262980237,1.847337372,1,0.095184077,0.144346371,0.998318324,0.969997007,1,1
27,klf10,sin3a,1,1,2.622342465,0.159104147,124.813355,0.221850784,159.5523341,5.702313709,-0.946328382,2.568380505,0.092655002,1.278327421,25.70337411,0.677254597,1.409571454,1,-0.00310227,0.170590411,8.066422327,1.544716871,1,1
28,klf10,stat3,1,1,2.237438303,0.088976058,9.317297795,1.339735619,17.38467251,5.843879987,4.74920139,1.804184777,0.083434885,1.865849186,4.361965079,0.649320988,0.790352505,1,0.096384804,0.124788685,5.175310695,2.33735162,1,1
