,0,1,2,3
167,ets1,maff,1.0,1.0
168,ets1,mafk,1.0,1.0
169,ets1,max,1.0,1.0
170,e2f1,klf3,1.0,1.0
171,e2f1,klf4,1.0,1.0
172,ets1,mbd2,1.0,1.0
173,e2f1,klf6,1.0,1.0
174,e2f1,klf7,1.0,1.0
175,ets1,nfkb2,1.0,1.0
176,e2f1,maff,1.0,1.0
177,e2f1,mafk,1.0,1.0
178,e2f1,max,1.0,1.0
179,ets1,nfya,1.0,1.0
180,ets1,osr1,1.0,1.0
181,e2f1,mbd2,1.0,1.0
182,e2f1,mlx,1.0,1.0
183,e2f1,myc,1.0,1.0
184,klf3,klf4,1.0,1.0
185,ets1,rela,1.0,1.0
186,klf3,klf6,1.0,1.0
187,klf3,klf7,1.0,1.0
188,e2f1,nr3c1,1.0,1.0
189,ets1,rest,1.0,1.0
190,klf3,maff,1.0,1.0
191,klf3,mafk,1.0,1.0
192,klf3,max,1.0,1.0
193,ets1,smad4,1.0,1.0
194,klf3,mbd2,1.0,1.0
195,e2f1,rad21,1.0,1.0
196,e2f1,rest,1.0,1.0
197,klf3,myc,1.0,1.0
198,ets1,srf,1.0,1.0
199,ets1,tcf12,1.0,1.0
200,ets1,tcf7l2,1.0,1.0
201,e2f1,smad4,1.0,1.0
202,e2f1,smc3,1.0,1.0
203,e2f1,sp1,1.0,1.0
204,ets1,tfdp1,1.0,1.0
205,ets1,trp53,1.0,1.0
206,ets1,yy1,1.0,1.0
207,ets1,zbtb7a,1.0,1.0
208,ets1,zbtb7b,1.0,1.0
209,klf3,pura,1.0,1.0
210,klf3,rad21,1.0,1.0
211,klf3,rest,1.0,1.0
212,e2f1,srf,1.0,1.0
213,ets1,zeb1,1.0,1.0
214,e2f1,stat3,1.0,1.0
215,e2f1,tcf12,1.0,1.0
216,klf3,smc3,1.0,1.0
217,klf3,sp1,1.0,1.0
218,e2f1,tcf7l2,1.0,1.0
219,tcf4,zeb1,1.0,1.0
220,tcf4,zfp281,1.0,1.0
221,e2f1,tfdp1,1.0,1.0
222,klf3,srebf1,1.0,1.0
223,e2f1,vdr,1.0,1.0
224,klf3,srf,1.0,1.0
225,e2f1,ybx1,1.0,1.0
226,klf3,stat3,1.0,1.0
227,e2f1,yy1,1.0,1.0
228,tcf7l2,vezf1,1.0,1.0
229,tcf7l2,yy1,1.0,1.0
230,tcf7l2,zbtb7a,1.0,1.0
231,klf3,tcf12,1.0,1.0
232,e2f1,zbtb4,1.0,1.0
233,klf3,tcf7l2,1.0,1.0
234,e2f1,zbtb7a,1.0,1.0
235,e2f1,zbtb7b,1.0,1.0
236,e2f1,zeb1,1.0,1.0
237,klf3,tfdp1,1.0,1.0
238,e2f1,zfp148,1.0,1.0
239,e2f1,zfp281,1.0,1.0
240,tcf7l2,zfp148,1.0,1.0
241,klf3,twist2,1.0,1.0
242,klf3,yy1,1.0,1.0
243,klf3,zbtb7a,1.0,1.0
244,klf3,zbtb7b,1.0,1.0
245,klf3,zeb1,1.0,1.0
246,klf3,zfp148,1.0,1.0
247,klf3,zfp281,1.0,1.0
248,klf4,klf7,1.0,1.0
249,klf4,maff,1.0,1.0
250,klf4,mafk,1.0,1.0
251,klf4,max,1.0,1.0
252,klf4,mbd2,1.0,1.0
253,klf4,myc,1.0,1.0
254,klf4,rest,1.0,1.0
255,tead1,tead3,1.0,1.0
256,atf4,cebpb,1.0,1.0
257,klf4,smarcc1,1.0,1.0
258,klf4,smc3,1.0,1.0
259,klf4,sp1,1.0,1.0
260,atf4,fosl2,1.0,1.0
261,klf4,srebf1,1.0,1.0
262,klf4,srf,1.0,1.0
263,klf4,tcf12,1.0,1.0
264,klf4,tcf7l2,1.0,1.0
265,atf5,maff,1.0,1.0
266,atf6,bdp1,1.0,1.0
267,klf4,tfdp1,1.0,1.0
268,klf4,vezf1,1.0,1.0
269,klf4,yy1,1.0,1.0
270,atf6,stat3,1.0,1.0
271,atf6,tfdp1,1.0,1.0
272,atf6,tgif1,1.0,1.0
273,klf4,zbtb7a,1.0,1.0
274,klf4,zbtb7b,1.0,1.0
275,klf4,zeb1,1.0,1.0
276,klf4,zfp148,1.0,1.0
277,klf4,zfp281,1.0,1.0
278,nr2f2,tcf12,1.0,1.0
279,nr2f2,vezf1,1.0,1.0
280,gtf2i,klf7,1.0,1.0
281,gtf2i,mafk,1.0,1.0
282,nr3c1,sp1,1.0,1.0
283,gtf2i,tcf12,1.0,1.0
284,nr3c1,stat3,1.0,1.0
285,nr3c1,zeb1,1.0,1.0
286,nr3c1,zfp148,1.0,1.0
287,nr3c1,zfp281,1.0,1.0
288,gtf2i,yy1,1.0,1.0
289,gtf2i,zfp148,1.0,1.0
290,klf6,klf7,1.0,1.0
291,klf6,max,1.0,1.0
292,klf6,mbd2,1.0,1.0
293,atoh8,rarg,1.0,1.0
294,atoh8,tcf12,1.0,1.0
295,atoh8,zeb1,1.0,1.0
296,thap11,zfp148,1.0,1.0
297,klf6,myc,1.0,1.0
298,hdac2,id3,1.0,1.0
299,hdac2,id4,1.0,1.0
300,hdac2,irf3,1.0,1.0
301,hdac2,max,1.0,1.0
302,hdac2,mbd2,1.0,1.0
303,hdac2,mlx,1.0,1.0
304,hdac2,myc,1.0,1.0
305,hdac2,nfya,1.0,1.0
306,hdac2,nfyb,1.0,1.0
307,twist2,zeb1,1.0,1.0
308,ubp1,vdr,1.0,1.0
309,klf6,rela,1.0,1.0
310,klf6,rest,1.0,1.0
311,klf6,sp1,1.0,1.0
312,hdac2,rad21,1.0,1.0
313,hdac2,rest,1.0,1.0
314,vdr,zbtb7b,1.0,1.0
315,klf6,srebf1,1.0,1.0
316,vdr,zeb1,1.0,1.0
317,klf6,stat6,1.0,1.0
318,vezf1,yy1,1.0,1.0
319,klf6,tcf12,1.0,1.0
320,vezf1,zbtb7b,1.0,1.0
321,vezf1,zfp148,1.0,1.0
322,hdac2,smad2,1.0,1.0
323,hdac2,smad3,1.0,1.0
324,klf6,tfdp1,1.0,1.0
325,hdac2,smc3,1.0,1.0
